radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
1,64,11,95,86,51,1,30,28,9,126
1,11,30,104,21,29,100,2,114,10,64
0,72,26,86,68,102,21,104,13,67,37
0,86,18,27,48,70,95,75,88,29,30
0,35,23,104,119,40,98,84,67,34,105
0,1,87,23,63,100,44,110,129,85,34
1,22,37,81,95,88,73,53,135,76,121
1,129,75,72,11,87,99,54,26,3,79
0,138,83,21,70,5,74,14,87,63,42
0,30,26,35,29,8,64,86,41,4,2
1,9,86,54,38,35,50,26,41,34,53
1,53,28,75,5,8,72,26,44,104,20
1,114,135,87,89,34,21,137,44,30,14
1,23,105,60,31,6,21,41,30,39,5
0,101,81,1,45,11,2,119,44,19,63
0,113,84,1,96,14,81,4,138,68,5
1,104,100,86,42,30,129,21,82,73,44
1,95,93,85,2,35,49,65,102,8,73
1,31,41,113,93,30,14,87,101,40,1
1,23,21,96,95,111,100,70,105,87,2
1,62,75,99,54,35,94,49,101,42,14
0,108,47,64,110,138,128,28,76,14,27
0,104,129,100,41,86,7,83,27,44,84
1,27,11,100,28,123,30,41,5,72,2
1,71,68,7,34,1,59,138,11,42,36
0,16,14,138,86,62,114,72,2,60,7
1,89,45,135,5,21,76,10,75,53,86
0,92,49,94,97,64,23,32,93,100,21
0,35,85,1,89,71,93,100,62,49,37
0,1,32,106,99,36,60,88,9,76,4
1,84,119,8,38,92,3,14,23,87,67
1,99,84,59,41,74,23,49,42,71,86
1,98,86,50,23,70,38,35,128,100,2
1,8,62,84,129,64,30,86,101,35,46
1,48,114,49,51,72,69,138,79,43,7
0,43,93,9,74,1,72,4,76,123,87
0,137,3,19,70,69,60,75,10,97,23
1,20,54,37,13,123,64,104,11,138,61
0,29,4,75,31,74,50,8,62,111,9
1,48,83,84,129,32,8,16,105,2,101
0,111,138,41,94,112,22,120,68,16,18
0,44,21,106,100,83,86,138,128,41,120
0,44,81,70,34,26,14,30,114,28,135
0,1,25,94,112,27,44,11,72,77,75
0,47,87,128,42,114,31,72,1,85,67
1,73,41,51,30,50,7,19,31,81,75
1,69,58,76,11,64,19,2,39,75,42
1,14,35,42,97,84,138,72,106,128,104
0,68,8,49,128,105,137,30,14,59,1
0,13,38,75,97,8,26,42,56,67,101
0,6,85,36,19,105,74,123,16,138,75
0,93,121,123,74,49,37,58,14,17,8
0,84,44,71,106,104,54,119,17,36,7
0,1,76,87,7,69,106,105,36,67,110
0,129,9,75,8,128,39,108,81,70,26
1,74,11,26,46,38,42,105,1,36,34
0,137,50,93,128,16,56,2,85,64,44
1,36,110,70,30,100,14,105,8,101,71
0,56,111,19,86,76,113,119,75,1,28
1,69,10,16,64,88,45,86,138,11,15
0,48,26,19,135,14,9,53,123,81,108
0,27,55,106,1,73,36,96,4,121,86
0,2,27,74,100,41,17,29,11,129,72
1,46,5,77,121,21,93,50,41,86,78
1,69,76,31,56,9,8,14,126,62,111
1,6,99,71,11,30,2,72,10,40,14
1,4,7,44,75,119,35,34,43,105,50
0,53,106,93,128,7,2,30,9,74,94
0,48,32,114,2,85,75,62,21,42,136
1,85,54,34,137,90,74,101,93,102,75
1,99,17,8,106,34,84,42,27,16,86
0,120,114,74,98,30,62,86,18,97,76
0,111,35,138,137,40,59,87,105,123,14
0,9,14,4,19,15,53,138,6,39,67
1,76,67,39,96,87,41,9,35,50,6
0,100,8,121,25,44,102,91,53,76,67
1,86,44,22,81,26,101,70,76,31,16
0,63,7,136,30,39,86,104,21,35,84
1,95,91,101,104,120,6,23,57,26,113
0,27,93,83,25,106,14,64,100,129,44
0,29,62,104,6,123,46,9,47,105,93
1,14,17,86,112,42,11,104,44,68,72
0,6,121,40,96,25,137,8,123,14,30
0,129,41,84,123,39,30,68,49,23,87
0,114,88,60,138,43,128,11,8,101,104
1,35,27,14,2,10,30,71,11,4,100
1,39,59,79,1,135,26,47,10,86,41
0,36,75,26,64,9,16,31,102,96,47
1,102,101,72,67,135,6,28,75,13,64
1,64,16,138,93,79,113,112,14,67,40
1,74,72,1,69,26,5,71,138,136,86
0,38,123,8,74,9,13,14,67,50,91
0,4,44,5,102,86,31,58,121,75,51
0,36,68,34,93,84,35,25,44,106,75
1,104,101,26,114,14,11,86,8,83,46
1,41,87,58,72,46,23,68,44,96,66
0,28,14,83,31,67,86,84,16,22,8
1,89,26,84,80,71,17,62,7,8,30
0,111,44,97,106,2,34,60,14,11,79
1,29,1,37,105,14,49,30,32,70,20
0,105,40,86,96,63,27,104,48,136,53
1,50,86,138,67,75,128,93,2,57,56
0,113,114,104,101,50,135,86,93,18,27
0,14,129,119,22,8,37,75,108,34,1
1,79,114,35,12,86,5,42,99,6,75
0,45,81,34,87,93,94,64,95,2,123
1,5,94,44,121,32,129,17,126,11,105
1,56,2,104,86,15,37,135,94,72,14
0,19,1,26,97,14,58,23,53,5,2
0,138,119,95,27,85,81,74,57,68,99
0,30,53,106,8,82,138,14,50,101,21
1,100,27,1,4,83,58,26,13,93,14
1,14,33,70,90,128,102,75,86,44,62
0,93,75,15,86,97,41,126,128,14,112
1,56,17,53,14,89,104,35,26,44,34
1,51,22,56,52,120,30,17,38,42,84
0,12,100,106,72,79,59,11,104,50,21
0,35,106,93,8,5,2,6,40,30,59
1,84,96,5,11,8,45,98,74,86,56
1,30,123,137,11,6,21,93,76,60,5
1,69,10,36,11,110,109,128,22,67,39
1,64,29,84,1,76,67,7,34,62,27
0,111,10,1,86,16,9,11,14,51,64
1,62,136,48,101,99,64,93,74,104,97
0,7,114,35,49,6,42,113,62,85,29
1,22,27,14,47,72,71,2,67,91,31
0,54,123,102,35,15,51,75,62,58,94
0,11,75,138,14,129,9,120,100,1,84
1,121,45,81,56,93,137,64,41,62,27
1,67,62,20,22,4,8,138,60,72,19
0,87,8,104,128,82,21,72,27,93,135
1,126,18,37,128,36,97,104,30,51,54
1,76,40,44,129,32,25,30,8,128,86
0,105,64,135,26,41,25,108,93,29,32
0,73,106,71,53,19,26,102,11,7,98
1,63,119,14,87,100,60,68,1,9,126
1,42,91,21,35,111,33,48,85,90,11
0,62,7,10,64,106,26,1,99,84,86
1,114,14,30,53,119,9,56,36,77,58
0,22,26,135,11,41,35,80,30,71,72
0,22,129,7,138,79,8,2,37,14,56
0,102,56,36,14,53,1,73,44,30,58
1,64,72,98,35,41,81,8,14,22,20
0,1,59,9,2,64,79,36,86,77,44
0,31,21,44,120,19,97,106,91,26,54
1,36,9,6,5,16,11,1,19,26,22
1,49,68,106,67,30,14,84,1,21,16
1,123,100,76,51,54,67,27,69,30,92
1,56,11,19,2,86,123,108,55,10,6
0,9,22,44,40,98,83,101,102,36,35
1,65,104,41,50,27,137,87,76,14,67
1,85,11,8,121,57,44,35,16,105,14
1,7,81,138,114,31,121,120,69,67,14
1,54,74,88,99,90,138,87,32,47,57
0,67,22,47,135,84,105,54,100,62,27
0,41,42,76,87,123,138,62,64,36,32
0,119,68,14,89,29,84,26,11,74,16
1,44,105,15,62,101,75,63,67,5,11
1,56,37,96,9,76,138,26,85,14,11
0,35,30,5,49,70,25,10,64,96,32
0,67,75,84,106,129,107,128,34,38,93
0,111,19,97,18,26,30,36,113,84,100
1,66,57,72,135,126,12,69,22,68,62
0,5,47,55,129,8,68,104,75,14,6
0,126,9,16,54,35,76,28,138,30,87
0,84,36,93,35,112,107,75,108,91,8
1,14,36,35,104,138,41,87,88,126,135
1,62,14,35,42,86,101,81,126,129,26
1,52,90,30,42,15,7,4,35,137,86
0,101,44,45,102,104,40,2,36,85,37
0,86,68,4,69,62,22,8,126,99,121
1,6,62,83,34,96,103,12,22,71,14
1,27,94,64,28,2,14,44,30,1,129
1,128,100,59,54,58,7,104,26,80,17
0,68,74,81,54,75,105,7,85,106,2
0,52,36,110,31,138,93,75,14,35,2
1,74,71,8,7,72,138,82,73,84,45
0,56,88,19,70,9,114,49,138,2,83
0,29,21,22,30,44,1,7,87,9,2
0,85,93,30,59,27,22,75,8,91,35
0,69,9,87,62,1,49,53,84,86,44
1,34,97,41,53,23,84,63,11,51,5
1,54,123,60,75,102,43,64,15,11,45
1,87,47,41,104,30,109,128,26,32,14
0,41,86,85,49,32,102,5,67,106,16
0,38,87,88,8,119,70,4,128,14,74
1,113,14,135,10,32,95,72,56,97,87
0,70,123,101,121,81,30,80,93,7,111
0,47,26,69,68,44,99,84,20,11,73
0,14,111,102,70,30,79,35,37,98,93
0,97,28,71,27,99,123,10,35,96,119
0,93,20,138,22,30,90,1,2,123,26
0,104,44,14,128,87,59,51,136,123,1
1,2,43,86,37,8,88,23,9,44,68
0,75,26,11,1,76,93,7,126,31,36
0,129,123,84,1,25,72,87,98,7,40
1,102,8,48,86,7,64,10,49,136,13
0,61,59,123,51,10,6,35,36,11,52
0,93,114,74,22,7,69,100,48,95,79
0,119,22,5,93,42,8,114,84,75,62
0,54,19,123,120,86,83,43,13,103,67
0,20,40,1,99,70,63,42,136,10,26
0,85,56,107,26,1,44,102,101,75,126
0,16,9,1,87,138,106,63,58,69,121
0,2,8,20,17,7,27,40,49,72,19
1,56,84,101,8,69,67,14,5,25,43
0,17,35,41,30,7,5,28,9,93,34
0,106,39,38,16,35,13,85,67,86,46
1,81,75,40,2,76,39,14,128,27,1
0,29,45,30,67,58,26,44,104,75,39
1,75,76,30,114,15,36,14,37,104,56
1,81,21,68,106,129,119,22,55,14,136
