radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,73,86,85,1,97,82,28,84,67,75
0,72,26,112,22,63,99,33,21,5,44
0,34,74,42,59,35,100,44,70,26,60
0,69,72,39,7,9,31,47,107,11,106
0,86,10,32,53,95,98,28,93,48,14
1,47,28,110,76,106,14,75,9,39,1
0,36,21,97,35,61,46,30,41,1,68
1,100,26,98,86,89,72,22,92,94,25
0,36,55,92,93,73,30,14,99,75,12
0,102,26,28,11,7,1,88,69,31,106
1,102,84,21,7,44,83,12,112,104,39
0,7,21,31,16,72,93,36,34,67,50
1,9,39,28,30,12,74,4,25,104,7
0,55,39,50,27,21,88,74,7,67,69
1,68,50,55,73,19,81,98,109,13,67
1,73,104,42,15,50,68,63,106,87,59
0,100,26,109,20,17,25,53,14,42,59
0,31,27,23,72,48,62,93,20,21,2
0,7,44,36,21,47,54,96,16,86,39
1,18,12,8,99,21,44,53,70,48,27
1,71,72,36,30,42,93,73,57,12,109
1,21,83,39,26,48,28,64,71,85,106
1,14,27,21,44,71,8,2,62,64,22
1,85,11,93,75,112,47,9,21,4,50
0,59,42,3,63,44,54,14,74,7,4
0,39,8,26,50,70,74,5,96,12,20
0,11,80,7,64,21,70,55,5,19,91
0,1,34,7,101,18,19,104,26,59,4
1,25,81,76,7,95,18,36,11,85,1
1,71,5,95,74,85,97,64,14,8,29
1,47,16,11,22,100,9,7,46,69,8
0,104,91,44,19,75,42,40,1,85,11
0,65,94,22,73,44,1,104,21,17,87
0,68,63,93,100,46,73,26,14,8,36
1,78,26,73,19,40,68,14,89,46,5
0,2,12,26,25,46,8,31,102,86,11
1,42,21,39,31,62,73,67,28,86,26
1,63,84,46,85,35,90,11,36,9,60
1,86,73,12,39,90,49,25,21,34,37
1,43,46,99,18,20,45,14,1,53,94
1,21,72,9,91,98,12,34,57,54,62
1,86,93,76,31,33,35,4,106,68,62
0,57,14,21,1,7,112,93,104,103,107
1,42,11,74,62,31,10,29,5,8,32
0,102,106,26,28,48,82,25,63,37,60
1,18,1,28,25,9,55,26,21,8,71
0,22,68,70,46,20,73,112,57,67,39
1,75,31,72,74,21,3,9,64,44,11
1,30,73,8,26,36,39,106,58,51,20
0,64,97,101,106,21,3,78,91,44,2
0,62,22,83,51,12,97,75,107,59,36
1,56,26,18,55,9,86,101,5,6,76
0,51,44,47,85,8,21,53,10,42,57
0,72,11,68,2,21,104,40,106,50,7
1,8,14,11,88,65,7,6,72,51,5
0,33,16,69,71,35,14,1,19,86,53
0,25,106,9,2,105,21,112,11,72,110
0,4,1,25,34,56,74,97,41,62,39
0,9,7,100,16,11,93,86,74,112,56
1,21,72,30,47,84,85,67,3,7,39
